"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"2014-10","USD","2014-10-1","Jd. Pery Alto","1","63525"
"2016-10","USD","2016-10-0","São Miguel","0","48732"
"2016-10","USD","2016-10-1","Jd. Das Oliveiras","1","59109"
"2017-10","USD","2017-10-0","São Miguel","0","47373"
"2018-10","USD","2018-10-0","São Miguel","0","54224"
"2019-10","USD","2019-10-0","Shop. Penha","0","58723"
"2019-10","USD","2019-10-1","Pq. Paineiras","1","58724"
"2020-10","USD","2020-10-0","Metrô Parada Inglesa","0","57680"
"2020-10","USD","2020-10-1","Horto Florestal","1","57681"
"2021-10","USD","2021-10-0","Cptm Guaianazes","0","56231"
"2021-10","USD","2021-10-1","Jd. Bandeirantes","1","56232"
"2023-10","USD","2023-10-0","Metrô Tucuruvi","0","64467"
"2023-10","USD","2023-10-1","Cachoeira","1","64468"
"2024-10","USD","2024-10-0","Cachoeira","0","57693"
"2025-10","USD","2025-10-0","Santana","0","64673"
"2025-10","USD","2025-10-1","Vl. Nova Galvão","1","64674"
"2026-10","USD","2026-10-0","Pq. Novo Mundo","0","60288"
"2026-10","USD","2026-10-1","Jaçanã","1","63434"
"2028-10","USD","2028-10-0","Metrô Tucuruvi","0","64318"
"2029-10","USD","2029-10-0","Metrô Tucuruvi","0","64465"
"2029-10","USD","2029-10-1","Jd. Fontális","1","64466"
"2030-10","U__","2030-10-0","Metrô Santana","0","57762"
"2031-10","USD","2031-10-0","Term. A. E. Carvalho","0","59896"
"2031-10","USD","2031-10-1","Cid. Kemel Ii","1","52526"
"2032-10","USD","2032-10-0","Metrô Carandiru","0","64675"
"2033-10","USD","2033-10-0","Term. Rod. Tietê ","0","63826"
"2058-10","US_","2058-10-0","Cptm Guaianazes","0","65011"
"2058-10","US_","2058-10-1","Term. São Miguel","1","65012"
"2059-10","USD","2059-10-0","Cptm Guaianazes","0","52554"
"2059-10","USD","2059-10-1","São Miguel","1","52555"
"2060-10","USD","2060-10-0","Metrô Artur Alvim","0","57222"
"2076-10","USD","2076-10-0","Term. Penha","0","63908"
"2076-10","USD","2076-10-1","Jd. Das Oliveiras","1","63909"
"2079-10","U__","2079-10-0","Cptm Itaim Paulista","0","64723"
"2080-10","USD","2080-10-0","Term. Aricanduva","0","55813"
"2080-10","USD","2080-10-1","Cid. Kemel","1","55814"
"2088-10","USD","2088-10-0","Term. A. E. Carvalho","0","59120"
"2088-10","USD","2088-10-1","Conj. Encosta Norte","1","56078"
"208M-10","USD","208M-10-0","Term. Pinheiros","0","65000"
"208M-10","USD","208M-10-1","Metrô Santana","1","65001"
"208V-10","USD","208V-10-0","Term. Pq. D. Pedro Ii","0","63045"
"208V-10","USD","208V-10-1","Term. A. E. Carvalho","1","63046"
"209P-1","USD","209P-1-0","Term. Pinheiros","0","59036"
"209P-1","USD","209P-1-1","Cachoeirinha","1","59037"
"209P-10","USD","209P-10-0","Term. Pinheiros","0","59026"
"209P-10","USD","209P-10-1","Cachoeirinha","1","59027"
"2100-10","USD","2100-10-0","Pça. Da Sé","0","59799"
"2100-10","USD","2100-10-1","Term. Vl. Carrão","1","45818"
"2100-41","U__","2100-41-0","Pça. Da República","0","64886"
"2101-10","U__","2101-10-0","Pça. Da Sé","0","59802"
"2101-41","U__","2101-41-0","Vl. Prudente","0","49267"
"2104-10","USD","2104-10-0","Term. Pq. D. Pedro Ii","0","62251"
"2104-10","USD","2104-10-1","Metrô Santana","1","62252"
"2105-10","USD","2105-10-0","Lgo. Da Concórdia","0","56061"
"2105-10","USD","2105-10-1","Jd. Filhos Da Terra","1","56064"
"211L-10","USD","211L-10-0","Lapa","0","57854"
"211L-10","USD","211L-10-1","Mandaqui","1","57855"
"211V-10","USD","211V-10-0","Penha","0","64026"
"2123-10","US_","2123-10-0","Liberdade","0","64710"
"2123-10","US_","2123-10-1","Vl. Medeiros","1","62634"
"2127-10","USD","2127-10-0","Liberdade","0","61405"
"2127-10","USD","2127-10-1","Pq. Edú Chaves","1","62635"
"213C-10","USD","213C-10-0","Itaim Paulista","0","62032"
"213C-10","USD","213C-10-1","Vl. Califórnia","1","62372"
"213C-31","USD","213C-31-0","Itaim Paulista","0","62050"
"213C-31","USD","213C-31-1","Vl. Califórnia","1","62373"
"213E-10","USD","213E-10-0","Metrô Belém","0","64597"
"213E-10","USD","213E-10-1","Pq. Edú Chaves","1","64598"
"2161-10","USD","2161-10-0","Pça. Do Correio","0","63967"
"2161-10","USD","2161-10-1","Pq. Edú Chaves","1","63968"
"2175-10","US_","2175-10-0","Term. Pq. D. Pedro Ii","0","64021"
"2175-10","US_","2175-10-1","Pq. Edú Chaves","1","64174"
"2182-10","USD","2182-10-0","Pça. Do Correio","0","63969"
"2182-10","USD","2182-10-1","Jd. Brasil","1","63695"
"2201-10","USD","2201-10-0","Cptm Guaianazes","0","52666"
"2201-10","USD","2201-10-1","Div. De Ferraz","1","52667"
"2202-10","USD","2202-10-0","Cptm Guaianazes","0","64056"
"2202-10","USD","2202-10-1","Hosp. Itaim","1","60506"
"2203-10","USD","2203-10-0","Shop. Penha","0","47703"
"2203-10","USD","2203-10-1","Burgo Paulista","1","58726"
"2290-10","USD","2290-10-0","Term. Pq. D. Pedro Ii","0","62941"
"2290-10","USD","2290-10-1","Term. São Mateus","1","62942"
"2290-21","U__","2290-21-0","Term. Pq. D. Pedro Ii","0","62943"
"233A-10","USD","233A-10-0","Ceret","0","63730"
"233A-10","USD","233A-10-1","Jd. Helena","1","63731"
"233C-10","USD","233C-10-0","Ceret","0","59558"
"233C-10","USD","233C-10-1","Term. A. E. Carvalho","1","59559"
"2363-10","USD","2363-10-0","Term. Pq. D. Pedro Ii","0","64345"
"2363-10","USD","2363-10-1","Jd. Danfer","1","57360"
"2435-10","US_","2435-10-0","Term. Aricanduva","0","58695"
"2435-10","US_","2435-10-1","Jd. Coimbra","1","53709"
"2451-10","USD","2451-10-0","Term. Aricanduva","0","58696"
"2451-10","USD","2451-10-1","Vl. São Francisco","1","57114"
"2460-10","U__","2460-10-0","Term. A. E. Carvalho","0","63295"
"2460-10","U__","2460-10-1","Cem. Da Saudade","1","63296"
"2463-10","US_","2463-10-0","Term. Aricanduva","0","58700"
"2463-10","US_","2463-10-1","Burgo Paulista","1","52826"
"2522-10","USD","2522-10-0","Metrô Itaquera","0","62831"
"2522-10","USD","2522-10-1","Jd. Sto. Antônio","1","62006"
"2523-10","USD","2523-10-0","Term. A. E. Carvalho","0","63301"
"2523-10","USD","2523-10-1","Vl. Progresso","1","63302"
"253F-10","USD","253F-10-0","Term. São Mateus","0","61967"
"253F-10","USD","253F-10-1","Term. A. E. Carvalho","1","61724"
"2551-10","USD","2551-10-0","Term. Pq. D. Pedro Ii","0","57002"
"2551-10","USD","2551-10-1","Term. A. E. Carvalho","1","63047"
"2552-10","USD","2552-10-0","Term. Pq. D. Pedro Ii","0","58704"
"2552-10","USD","2552-10-1","Vl. Mara","1","62614"
"2552-41","U__","2552-41-0","Term. Pq. D. Pedro Ii","0","58705"
"2552-41","U__","2552-41-1","Jd. São Martinho","1","56941"
"2582-10","USD","2582-10-0","Term. Pq. D. Pedro Ii","0","64343"
"2582-10","USD","2582-10-1","Vl. Nova Curuçá","1","62615"
"2582-21","U__","2582-21-0","Term. Pq. D. Pedro Ii","0","64344"
"2583-10","USD","2583-10-0","Term. Aricanduva","0","63788"
"2583-10","USD","2583-10-1","Vl. Curuçá","1","63787"
"2590-10","USD","2590-10-0","Pq. D. Pedro Ii","0","62370"
"2590-10","USD","2590-10-1","União De Vl. Nova","1","62371"
"2626-10","USD","2626-10-0","Term. Pq. D. Pedro Ii","0","59697"
"2626-10","USD","2626-10-1","Jd. Nazaré","1","62616"
"263C-10","USD","263C-10-0","Cohab Ii","0","63732"
"263C-10","USD","263C-10-1","Jd. Helena","1","63733"
"263J-10","USD","263J-10-0","Conj. José Bonifácio","0","55288"
"263J-10","USD","263J-10-1","Penha","1","58722"
"2666-10","USD","2666-10-0","Term. Pq. D. Pedro Ii","0","60131"
"2666-10","USD","2666-10-1","Jd. Camargo Velho","1","62620"
"2666-21","U__","2666-21-0","Term. Pq. D. Pedro Ii","0","58895"
"2678-10","USD","2678-10-0","Term. Pq. D. Pedro Ii","0","58709"
"2678-10","USD","2678-10-1","Oliveirinha","1","62621"
"2678-41","U__","2678-41-0","Term. Pq. D. Pedro Ii","0","58710"
"2702-10","USD","2702-10-0","Metrô Artur Alvim","0","64244"
"2702-10","USD","2702-10-1","Vl. Americana","1","64245"
"2702-21","U__","2702-21-0","Metrô Artur Alvim","0","52716"
"2703-10","USD","2703-10-0","Metrô Itaquera","0","64658"
"2703-10","USD","2703-10-1","Jd. Etelvina","1","64659"
"2703-21","U__","2703-21-0","Metrô Itaquera","0","64660"
"2703-22","U__","2703-22-0","Metrô Itaquera","0","55960"
"2704-10","USD","2704-10-0","Metrô Itaquera","0","57999"
"2704-10","USD","2704-10-1","Jd. Robru","1","58000"
"2705-10","USD","2705-10-0","Metrô Itaquera","0","62843"
"2705-10","USD","2705-10-1","Jd. Fanganielo","1","62049"
"2706-10","USD","2706-10-0","Metrô Vl. Matilde","0","44438"
"2706-10","USD","2706-10-1","Cem. Da Saudade","1","44439"
"2707-10","USD","2707-10-0","Metrô Itaquera","0","64829"
"2707-10","USD","2707-10-1","Chabilândia","1","64830"
"2707-31","U__","2707-31-0","Metrô Itaquera","0","62845"
"2708-10","USD","2708-10-0","Metrô Itaquera","0","62846"
"2708-10","USD","2708-10-1","Jd. Lajeado","1","62055"
"2709-10","USD","2709-10-0","Vl. União","0","59760"
"2709-31","USD","2709-31-0","Vl. União","0","59766"
"2710-10","USD","2710-10-0","Burgo Paulista","0","60535"
"2710-31","U__","2710-31-0","Term. A. E. Carvalho","0","63062"
"2711-10","USD","2711-10-0","Metrô Patriarca","0","52734"
"2711-10","USD","2711-10-1","Ponte Rasa","1","52735"
"2712-10","USD","2712-10-0","Shop. Metrô Itaquera","0","52736"
"2713-10","USD","2713-10-0","Chác. Bela Vista","0","60831"
"2714-10","USD","2714-10-0","Vl. Rui Barbosa","0","53584"
"2715-10","USD","2715-10-0","Metrô Patriarca","0","63389"
"2715-10","USD","2715-10-1","Vl. Sílvia","1","63390"
"2716-10","USD","2716-10-0","Metrô Penha","0","60821"
"2716-10","USD","2716-10-1","Chác. Cruz. Do Sul","1","60822"
"2717-10","USD","2717-10-0","Cangaíba","0","60171"
"2718-10","USD","2718-10-0","Metrô Penha","0","64250"
"2718-10","USD","2718-10-1","Vl. Sílvia","1","64251"
"2719-10","USD","2719-10-0","Metrô Vl. Matilde","0","47736"
"2719-10","USD","2719-10-1","Ermelino Matarazzo","1","47737"
"271A-10","USD","271A-10-0","Metrô Santana","0","63937"
"271A-10","USD","271A-10-1","Term. Penha","1","63938"
"271A-51","USD","271A-51-0","Metrô Santana","0","64045"
"271A-51","USD","271A-51-1","Cangaíba","1","64046"
"271C-10","USD","271C-10-0","Term. Princ. Isabel","0","64882"
"271F-10","USD","271F-10-0","Metrô Belém     ","0","60361"
"271F-10","USD","271F-10-1","Center Norte","1","60362"
"271M-10","USD","271M-10-0","Metrô Santana","0","63920"
"271M-10","USD","271M-10-1","Pq. Novo Mundo","1","53805"
"271P-10","USD","271P-10-0","Luz","0","53578"
"271P-10","USD","271P-10-1","Cangaíba","1","53579"
"2720-10","USD","2720-10-0","Metrô Guilhermina/esperança","0","61713"
"2720-10","USD","2720-10-1","Jd. Belém","1","61714"
"2720-31","US_","2720-31-0","Metrô Guilhermina/esperança","0","64746"
"2720-31","US_","2720-31-1","Jd. Belém","1","64747"
"2721-10","USD","2721-10-0","Metrô Itaquera","0","62003"
"2721-10","USD","2721-10-1","Jd. Nazaré","1","56872"
"2722-10","USD","2722-10-0","Metrô Guilhermina/esperança","0","52934"
"2722-10","USD","2722-10-1","Jd. Veronia","1","52935"
"2722-31","USD","2722-31-0","Jd. Verônia","0","57543"
"2723-10","USD","2723-10-0","Metrô Itaquera","0","57071"
"2723-10","USD","2723-10-1","União De Vl. Nova","1","57072"
"2724-10","USD","2724-10-0","Conj. Araucária","0","54038"
"2725-10","USD","2725-10-0","Jd. São Carlos","0","63094"
"2726-10","USD","2726-10-0","Metrô Penha","0","63060"
"2726-10","USD","2726-10-1","Limoeiro","1","63061"
"2727-10","USD","2727-10-0","Conj. A. E. Carvalho","0","52910"
"2728-10","USD","2728-10-0","Metrô Penha","0","60788"
"2728-10","USD","2728-10-1","Jd. Do Castelo","1","60789"
"272N-10","US_","272N-10-0","Pq. D. Pedro Ii","0","63966"
"2730-10","USD","2730-10-0","Metrô Artur Alvim","0","61494"
"2730-10","USD","2730-10-1","Vl. Jacui","1","61495"
"2731-10","USD","2731-10-0","Metrô Itaquera","0","63342"
"2731-10","USD","2731-10-1","Vl. Progresso","1","63343"
"2732-10","USD","2732-10-0","Vl. Regina","0","55383"
"2733-10","USD","2733-10-0","Metrô Itaquera","0","63923"
"2733-10","USD","2733-10-1","Pq. Guarani","1","63924"
"2734-10","USD","2734-10-0","Metrô Itaquera","0","56873"
"2734-10","USD","2734-10-1","Jd. Campos","1","56874"
"2735-10","USD","2735-10-0","Metrô Penha","0","64697"
"2735-10","USD","2735-10-1","Jd. Keralux","1","64698"
"2735-21","USD","2735-21-0","Metrô Penha","0","64699"
"2735-21","USD","2735-21-1","Jd. São Francisco","1","64700"
"273D-10","USD","273D-10-0","Metrô Artur Alvim","0","57224"
"273D-10","USD","273D-10-1","Pq. D. João Nery","1","57225"
"273F-10","U__","273F-10-0","Metrô Itaquera","0","62832"
"273F-10","U__","273F-10-1","Vl. Mara","1","62008"
"273G-10","USD","273G-10-0","Metrô Artur Alvim","0","52644"
"273G-10","USD","273G-10-1","Jd. Helena","1","52645"
"273G-21","U__","273G-21-0","Metrô Artur Alvim","0","52608"
"273J-10","USD","273J-10-0","Metrô Penha","0","58575"
"273J-10","USD","273J-10-1","Jd. Romano","1","60762"
"273L-10","USD","273L-10-0","Metrô Artur Alvim","0","60572"
"273L-10","USD","273L-10-1","Cptm José Bonifácio","1","60573"
"273N-10","USD","273N-10-0","Metrô Vl. Matilde","0","62618"
